MIMAT_ID,miRNA_name
MIMAT0004552,hsa-miR-421
MIMAT0000436,hsa-miR-133a-3p
MIMAT0001545,hsa-miR-483-5p
MIMAT0002808,hsa-miR-511-5p
MIMAT0000765,hsa-miR-335-5p
MIMAT0006790,hsa-miR-1257
MIMAT0003879,hsa-miR-551b-3p
MIMAT0000281,hsa-miR-223-3p
MIMAT0005797,hsa-miR-1261
MIMAT0001341,Unknown (MIMAT0001341)
MIMAT0000250,Unknown (MIMAT0000250)
MIMAT0000099,Unknown (MIMAT0000099)
MIMAT0000064,Unknown (MIMAT0000064)
MIMAT0004500,Unknown (MIMAT0004500)
MIMAT0000076,Unknown (MIMAT0000076)
MIMAT0000693,Unknown (MIMAT0000693)
MIMAT0000079,Unknown (MIMAT0000079)
MIMAT0004799,Unknown (MIMAT0004799)
MIMAT0000461,Unknown (MIMAT0000461)
MIMAT0000681,Unknown (MIMAT0000681)
MIMAT0000093,Unknown (MIMAT0000093)
MIMAT0000423,Unknown (MIMAT0000423)
MIMAT0004482,Unknown (MIMAT0004482)
MIMAT0004584,Unknown (MIMAT0004584)
MIMAT0000082,Unknown (MIMAT0000082)
MIMAT0003389,Unknown (MIMAT0003389)
MIMAT0000088,Unknown (MIMAT0000088)
MIMAT0002820,Unknown (MIMAT0002820)
MIMAT0000083,Unknown (MIMAT0000083)
MIMAT0000425,Unknown (MIMAT0000425)
MIMAT0000254,Unknown (MIMAT0000254)
MIMAT0000731,Unknown (MIMAT0000731)
MIMAT0004784,Unknown (MIMAT0004784)
MIMAT0000232,Unknown (MIMAT0000232)
MIMAT0004563,Unknown (MIMAT0004563)
MIMAT0004673,Unknown (MIMAT0004673)
MIMAT0000437,Unknown (MIMAT0000437)
MIMAT0016847,Unknown (MIMAT0016847)
MIMAT0017985,Unknown (MIMAT0017985)
MIMAT0004513,Unknown (MIMAT0004513)
MIMAT0004909,Unknown (MIMAT0004909)
MIMAT0000097,Unknown (MIMAT0000097)
MIMAT0001631,Unknown (MIMAT0001631)
MIMAT0000253,Unknown (MIMAT0000253)
MIMAT0002888,Unknown (MIMAT0002888)
MIMAT0004550,Unknown (MIMAT0004550)
MIMAT0002871,Unknown (MIMAT0002871)
MIMAT0002177,Unknown (MIMAT0002177)
MIMAT0002876,Unknown (MIMAT0002876)
MIMAT0004814,Unknown (MIMAT0004814)
MIMAT0000434,Unknown (MIMAT0000434)
MIMAT0000733,Unknown (MIMAT0000733)
