mirnet,mir_id,mir_acc,symbol,embl,entrez,experiment,pmid
mirnet-hsa-1,hsa-let-7b,MI0000063,LIN28,NA,NA,other,15131085
mirnet-hsa-2,hsa-let-7b,MI0000063,CCND1,ENSG00000110092,595,other,18379589
mirnet-hsa-3,hsa-let-7b,MI0000063,CDC25A,ENSG00000164045,993,other,18026111
mirnet-hsa-4,hsa-let-7b,MI0000063,BCL7A,ENSG00000110987,605,other,18026111
mirnet-hsa-5,hsa-let-7b,MI0000063,BCL7A,ENSG00000282873,605,other,18026111
mirnet-hsa-6,hsa-let-7b,MI0000063,HMGA2,ENSG00000149948,8091,Western blot,17437991
mirnet-hsa-7,hsa-let-7b,MI0000063,CDK6,ENSG00000105810,1021,Western blot,17699775
mirnet-hsa-8,hsa-let-7b,MI0000063,CDC25A,ENSG00000164045,993,Western blot,17699775
mirnet-hsa-9,hsa-let-7b,MI0000063,CDC34,ENSG00000099804,997,Immunoblot analysis,19126550
mirnet-hsa-10,hsa-let-7b,MI0000063,KRT,NA,NA,immunocytochemistry,19998415
mirnet-hsa-11,hsa-let-7d,MI0000065,DICER1,ENSG00000100697,23405,Western blot,18700235
mirnet-hsa-12,hsa-let-7d,MI0000065,DAD1,ENSG00000129562,1603,other,19939273
mirnet-hsa-13,hsa-let-7d,MI0000065,EIF4G2,ENSG00000110321,1982,other,19939273
mirnet-hsa-14,hsa-let-7d,MI0000065,RABGAP1L,ENSG00000152061,9910,other,19939273
mirnet-hsa-15,hsa-let-7d,MI0000065,SMOX,ENSG00000088826,54498,other,19939273
mirnet-hsa-16,hsa-let-7d,MI0000065,DAD3R,NA,NA,Western blot,19703567
mirnet-hsa-17,hsa-let-7e,MI0000066,SMC1A,ENSG00000072501,8243,other,15131085
mirnet-hsa-18,hsa-let-7e,MI0000066,HMGA2,ENSG00000149948,8091,Western blot,17437991
mirnet-hsa-19,hsa-let-7e,MI0000066,DAD1,ENSG00000129562,1603,other,19939273
mirnet-hsa-20,hsa-let-7e,MI0000066,RABGAP1L,ENSG00000152061,9910,other,19939273
mirnet-hsa-21,hsa-let-7e,MI0000066,WNT1,ENSG00000125084,7471,other,19398721
mirnet-hsa-22,hsa-mir-31,MI0000089,LATS2,ENSG00000150457,26524,other,20237410
mirnet-hsa-23,hsa-mir-31,MI0000089,PPP2R2A,ENSG00000221914,5520,other,20237410
mirnet-hsa-24,hsa-mir-31,MI0000089,FIH,NA,NA,Western blot,20145132
mirnet-hsa-25,hsa-mir-31,MI0000089,Fzd3,NA,NA,Western blot,19524507
mirnet-hsa-26,hsa-mir-31,MI0000089,ITGA5,ENSG00000161638,3678,Western blot,19524507
mirnet-hsa-27,hsa-mir-31,MI0000089,MMP16,ENSG00000156103,4325,Western blot,19524507
mirnet-hsa-28,hsa-mir-31,MI0000089,RDX,ENSG00000137710,5962,Western blot,19524507
mirnet-hsa-29,hsa-mir-31,MI0000089,MPRIP,ENSG00000133030,23164,other,19524507
mirnet-hsa-30,hsa-mir-31,MI0000089,RHOA,ENSG00000067560,387,Western blot,19524507
mirnet-hsa-31,hsa-mir-31,MI0000089,FOXP3,ENSG00000049768,50943,Western blot,19408243
mirnet-hsa-32,hsa-mir-31,MI0000089,SATB2,ENSG00000119042,23314,Western blot,20980827
mirnet-hsa-33,hsa-mir-31,MI0000089,RHOBTB1,ENSG00000072422,9886,other,20980827
mirnet-hsa-34,hsa-mir-31,MI0000089,CCNJ,ENSG00000107443,54619,other,20980827
mirnet-hsa-35,hsa-mir-31,MI0000089,VAMP4,ENSG00000117533,8674,other,20980827
mirnet-hsa-36,hsa-mir-31,MI0000089,TACC2,ENSG00000138162,10579,other,20980827
mirnet-hsa-37,hsa-mir-31,MI0000089,ENY2,ENSG00000120533,56943,other,20980827
mirnet-hsa-38,hsa-mir-31,MI0000089,ELAVL1,ENSG00000066044,1994,other,20980827
mirnet-hsa-39,hsa-mir-31,MI0000089,CLASP2,ENSG00000163539,23122,other,20980827
mirnet-hsa-40,hsa-mir-31,MI0000089,YPEL2,ENSG00000175155,388403,other,20980827
mirnet-hsa-41,hsa-mir-31,MI0000089,CCNJL,ENSG00000135083,79616,other,20980827
mirnet-hsa-42,hsa-mir-31,MI0000089,HERPUD2,ENSG00000122557,64224,other,20980827
mirnet-hsa-43,hsa-mir-31,MI0000089,FAM122A,ENSG00000187866,116224,other,20980827
mirnet-hsa-44,hsa-mir-31,MI0000089,STX12,ENSG00000117758,23673,other,20980827
