miRNA,TCGA-BC-A10Q-01A,TCGA-BC-A10R-01A,TCGA-BC-A110-01A,TCGA-DD-A113-11A,TCGA-DD-A114-11A,TCGA-DD-A115-11A,Group
hsa-mir-122,14.23,14.56,14.78,15.89,15.67,15.99,NASH-HCC
hsa-mir-122,14.23,14.56,14.78,15.89,15.67,15.99,Normal
hsa-mir-21,12.45,12.68,12.89,10.56,10.89,10.45,NASH-HCC
hsa-mir-21,12.45,12.68,12.89,10.56,10.89,10.45,Normal
hsa-mir-34a,9.56,9.78,9.90,8.45,8.67,8.23,NASH-HCC
hsa-mir-34a,9.56,9.78,9.90,8.45,8.67,8.23,Normal
hsa-mir-146a,10.23,10.56,10.34,8.90,8.78,8.45,NASH-HCC
hsa-mir-146a,10.23,10.56,10.34,8.90,8.78,8.45,Normal
hsa-mir-155,11.34,11.56,11.23,9.78,9.90,9.45,NASH-HCC
hsa-mir-155,11.34,11.56,11.23,9.78,9.90,9.45,Normal 
