gene_symbol,degree,betweenness,combined_score,is_hub,is_druggable,small_molecule,antibody,other_modality
EGFR,0.03694581280788178,0.03942283853999159,0.03818432567393668,True,True,False,False,True
HSP90AA1,0.02894088669950739,0.03194465663741189,0.03044277166845964,True,True,False,False,True
MYC,0.025554187192118227,0.017364013324103946,0.021459100258111086,True,True,False,False,True
MAPK3,0.02586206896551724,0.01178204809695281,0.018822058531235024,True,True,False,False,True
PIK3CA,0.021551724137931036,0.013854433038442639,0.017703078588186837,True,True,False,False,True
CDC42,0.020935960591133004,0.014028760000171779,0.01748236029565239,True,True,False,False,True
RHOA,0.023091133004926108,0.011578358806659948,0.01733474590579303,True,True,False,False,True
MAPK1,0.024630541871921183,0.00987971514151429,0.01725512850671774,True,True,False,False,True
CDH1,0.017549261083743842,0.014116368694191403,0.015832814888967622,True,True,False,False,True
IL6,0.01939655172413793,0.007373353034931531,0.013384952379534732,True,True,False,False,True
SMAD3,0.01847290640394089,0.008290040143935773,0.013381473273938332,True,True,False,False,True
MDM2,0.01539408866995074,0.010581129720322113,0.012987609195136425,True,True,False,False,True
ERBB2,0.01816502463054187,0.007788772246886796,0.012976898438714333,True,True,False,False,True
VEGFA,0.017241379310344827,0.008114507637554867,0.012677943473949847,True,True,False,False,True
MAPK8,0.016317733990147784,0.00876884541881909,0.012543289704483436,True,True,False,False,True
CASP3,0.016933497536945813,0.008005706085693053,0.012469601811319432,True,True,False,False,True
JAK2,0.016933497536945813,0.007636830655212499,0.012285164096079156,True,True,False,False,True
FOS,0.01600985221674877,0.008275910492600527,0.012142881354674648,True,True,False,False,True
CCND1,0.017549261083743842,0.006068820463644022,0.011809040773693932,True,True,False,False,True
SMAD4,0.015086206896551725,0.008176013073871197,0.011631109985211462,True,True,False,False,True
BRCA1,0.013546798029556651,0.008960910903869163,0.011253854466712907,True,True,False,False,True
FOXO1,0.015701970443349755,0.006422614704913954,0.011062292574131855,True,True,False,False,True
SP1,0.012315270935960592,0.008816698810336967,0.01056598487314878,True,True,False,False,True
HIST2H2AC,0.014470443349753694,0.006376604247483777,0.010423523798618736,True,False,False,False,False
PPARA,0.012315270935960592,0.008100588290178158,0.010207929613069374,True,True,False,False,True
CXCR4,0.01416256157635468,0.005690881274253339,0.00992672142530401,True,True,False,False,True
KDR,0.01416256157635468,0.005090176515363819,0.00962636904585925,True,True,False,False,True
