miRNA,normal_mean,tumor_mean,log2FC,pvalue,stat,padj
MIMAT0000062,15.10591836734694,14.770134770889486,-0.03243090555613959,0.000275228154829564,3.6375646188778856,
MIMAT0000063,13.547755102040817,12.575962264150943,-0.10738501937724454,1.8700410762963763e-13,7.357772702418746,
MIMAT0000064,12.438163265306123,10.714035040431266,-0.21527153991337533,4.9441396241594854e-23,9.882780982614015,
MIMAT0000065,7.3538163265306125,7.387679245283018,0.006628086091552188,0.7714304616116259,-0.29050430002742494,
MIMAT0000066,9.554285714285713,9.583954177897574,0.0044729901863700405,0.7892080949090956,-0.26733908644765186,
MIMAT0000067,13.62938775510204,13.395099730458222,-0.025015433873252668,0.1651265233846856,1.3880345542258645,
MIMAT0000068,7.378836734693877,7.73588679245283,0.06817328749970875,1.4532906484902736e-05,-4.335651460538616,
MIMAT0000069,9.150632653061225,8.74064690026954,-0.06613143300056201,5.2753223489107056e-06,4.553529685559185,
MIMAT0000070,8.694183673469386,9.405304582210242,0.1134240905305326,2.7068620780502296e-06,-4.691894880184316,
MIMAT0000071,8.508061224489795,8.931816711590297,0.07012323109445706,0.0003835304285590925,-3.551164633093867,
MIMAT0000072,3.15465306122449,4.032912129380054,0.3543406212092979,4.065621456402704e-06,-4.607999241814327,
MIMAT0000073,4.486081632653061,5.509889487870621,0.2965675096799565,2.5558966110754206e-09,-5.957842497976241,
MIMAT0000074,7.013183673469389,7.631180592991914,0.1218367562634537,9.919489019094327e-06,-4.4189210120550975,
MIMAT0000075,8.31061224489796,9.187382749326146,0.14469916845841402,3.2557716197055024e-08,-5.527094742763163,
MIMAT0000076,16.18795918367347,17.71099730458221,0.12972433588566634,1.0118238089309665e-22,-9.810780994460666,
MIMAT0000077,17.583469387755102,16.957601078167116,-0.05228766396268991,7.027529410007526e-11,6.52006849242587,
MIMAT0000078,10.53865306122449,10.353749326145552,-0.025537194038325772,0.09521225456835515,1.6685214645971713,
MIMAT0000079,5.357367346938775,4.089598382749326,-0.38956505208660497,3.2464400697669586e-22,9.69245057914777,
MIMAT0000080,10.591224489795916,10.31533423180593,-0.03807882677239638,0.0007308452510925851,3.3777385746723225,
MIMAT0000081,12.575306122448978,13.207169811320753,0.07072782174764125,8.199013582379354e-11,-6.496903278846097,
MIMAT0000082,11.962244897959183,10.973320754716982,-0.12448797741175666,5.35977512066458e-20,9.156520232545452,
MIMAT0000083,11.078755102040818,9.949361185983827,-0.15511997439375858,4.590284951520819e-19,8.921737662480185,
MIMAT0000084,9.46865306122449,9.077231805929918,-0.060906813357076484,0.0009493828411231059,3.305112499665466,
