miRNA,miRNA_name,normal_mean,tumor_mean,log2FC,pvalue,stat,padj
MIMAT0004552,hsa-miR-421,6.649897959183674,4.207471698113207,-0.6603786358464432,1.571197184282511e-28,11.079859046520127,4.1008246509773537e-26
MIMAT0001341,Unknown (MIMAT0001341),9.166142857142855,6.528644204851753,-0.4895313504792162,3.489362823055278e-27,10.798746049295314,4.5536184840871365e-25
MIMAT0000250,Unknown (MIMAT0000250),8.511775510204082,6.41888140161725,-0.4071381963633382,5.963644763705947e-25,10.316033085241124,5.188370944424174e-23
MIMAT0000099,Unknown (MIMAT0000099),15.506734693877553,14.022695417789755,-0.1451312368280564,3.330859659247908e-24,10.14949398220816,2.1733859276592603e-22
MIMAT0000064,Unknown (MIMAT0000064),12.438163265306123,10.714035040431266,-0.2152715399133753,4.944139624159486e-23,9.882780982614015,2.246854791388436e-21
MIMAT0004500,Unknown (MIMAT0004500),5.882693877551021,4.652870619946092,-0.3383558921770726,5.1651834284791634e-23,9.878398374639463,2.246854791388436e-21
MIMAT0000076,Unknown (MIMAT0000076),16.18795918367347,17.71099730458221,0.1297243358856663,1.0118238089309664e-22,-9.810780994460666,3.7726573447283176e-21
MIMAT0000436,hsa-miR-133a-3p,5.585918367346938,2.9230614555256063,-0.9343143289985572,2.5395437115604324e-22,9.717494053288066,8.285261358965911e-21
MIMAT0000693,Unknown (MIMAT0000693),13.924081632653063,12.700700808625337,-0.132674071997445,3.05330188524917e-22,9.698711447682845,8.473208582091762e-21
MIMAT0000079,Unknown (MIMAT0000079),5.357367346938775,4.089598382749326,-0.3895650520866049,3.2464400697669586e-22,9.69245057914777,8.473208582091762e-21
MIMAT0004799,Unknown (MIMAT0004799),5.394734693877551,6.5620377358490565,0.2825918787161816,5.526418885612854e-22,-9.637981022892628,1.311268481040868e-20
MIMAT0000461,Unknown (MIMAT0000461),6.303714285714285,4.501857412398922,-0.4856817835326747,7.357426243552446e-22,9.608554940777784,1.600240207972657e-20
MIMAT0001545,hsa-miR-483-5p,4.487183673469388,2.9889474393530997,-0.5861727114802178,1.1047157197673877e-21,9.566607121592789,2.2179292527637555e-20
MIMAT0000681,Unknown (MIMAT0000681),12.061632653061224,10.603404312668465,-0.1858976739069384,1.8454880883956255e-21,9.51338973904466,3.4103533273063683e-20
MIMAT0002808,hsa-miR-511-5p,4.998836734693878,3.3871490566037736,-0.561520932218287,1.959973176612855e-21,9.507128870509586,3.4103533273063683e-20
MIMAT0000093,Unknown (MIMAT0000093),11.02708163265306,12.447169811320752,0.1747667196025739,2.9658505411507093e-21,-9.463928877617576,4.838043695252095e-20
