gene_symbol,degree,betweenness,combined_score,is_hub,is_druggable,small_molecule,antibody,other_modality
TP53,0.12987012987012989,0.03128737812823723,0.08057875399918356,True,False,False,False,False
STAT3,0.12987012987012989,0.024059329709281707,0.0769647297897058,True,False,False,False,False
IL6,0.09090909090909091,0.018568855679696298,0.0547389732943936,True,False,False,False,False
RELA,0.09090909090909091,0.015040259733712568,0.05297467532140174,True,False,False,False,False
MDM2,0.07792207792207792,0.01417107706259731,0.04604657749233761,True,False,False,False,False
CAV1,0.07142857142857144,0.018773395256715855,0.04510098334264365,True,False,False,False,False
FOXO3,0.07142857142857144,0.005998706766892831,0.038713639097732136,True,False,False,False,False
FOXO1,0.06493506493506494,0.004860973373833064,0.034898019154449005,True,False,False,False,False
CARM1,0.05194805194805195,0.015212646417330103,0.033580349182691024,True,False,False,False,False
ATM,0.05194805194805195,0.013155275374102299,0.032551663661077125,True,False,False,False,False
CDK2,0.05844155844155845,0.003219787832723914,0.03083067313714118,True,False,False,False,False
E2F1,0.05194805194805195,0.00532264342570221,0.02863534768687708,True,False,False,False,False
H3F3B,0.045454545454545456,0.005534334946099653,0.025494440200322554,True,False,False,False,False
SP1,0.045454545454545456,0.003651111635759421,0.02455282854515244,True,False,False,False,False
IGF1R,0.045454545454545456,0.0032874396256112564,0.024370992540078355,True,False,False,False,False
STAT1,0.03896103896103896,0.0007281135036585043,0.019844576232348733,True,False,False,False,False
IL6ST,0.03896103896103896,0.0002058580489953039,0.019583448505017132,False,False,False,False,False
PARP1,0.03246753246753247,0.004172513600607866,0.018320023034070168,False,False,False,False,False
CHUK,0.03246753246753247,0.0010404590363846794,0.016753995751958576,False,False,False,False,False
STAT5A,0.03246753246753247,0.0006928023734746423,0.016580167420503555,False,False,False,False,False
CXCL2,0.03246753246753247,0.0003855354778076809,0.016426533972670077,False,False,False,False,False
LIF,0.03246753246753247,5.6588291882409526e-05,0.01626206037970744,False,False,False,False,False
FBXW7,0.025974025974025976,0.00013873600581010818,0.013056380989918043,False,False,False,False,False
ZEB1,0.025974025974025976,6.88368399089051e-05,0.01302143140696744,False,False,False,False,False
HIST2H3A,0.025974025974025976,0.0,0.012987012987012988,False,False,False,False,False
HIST1H3G,0.025974025974025976,0.0,0.012987012987012988,False,False,False,False,False
CCL3,0.025974025974025976,0.0,0.012987012987012988,False,False,False,False,False
HIST2H3C,0.025974025974025976,0.0,0.012987012987012988,False,False,False,False,False
MEF2C,0.01948051948051948,0.002756051915715782,0.011118285698117632,False,False,False,False,False
SMARCD1,0.01948051948051948,0.0018243338806315612,0.01065242668057552,False,False,False,False,False
PRKCB,0.01948051948051948,0.00021040036567986876,0.009845459923099674,False,False,False,False,False
NAMPT,0.012987012987012988,0.004329004329004329,0.008658008658008658,False,False,False,False,False
ERCC8,0.012987012987012988,0.004329004329004329,0.008658008658008658,False,False,False,False,False
LATS2,0.012987012987012988,0.0017174546586311294,0.0073522338228220584,False,False,False,False,False
ABCB1,0.012987012987012988,0.0005519195740738903,0.006769466280543439,False,False,False,False,False
TEAD1,0.012987012987012988,0.00022231114668089458,0.006604662066846941,False,False,False,False,False
CDC27,0.012987012987012988,9.70085003698449e-05,0.006542010743691417,False,False,False,False,False
POLR3G,0.012987012987012988,8.48824378236143e-05,0.006535947712418301,False,False,False,False,False
RHOB,0.012987012987012988,8.48824378236143e-05,0.006535947712418301,False,False,False,False,False
CALM2,0.012987012987012988,0.0,0.006493506493506494,False,False,False,False,False
SP3,0.012987012987012988,0.0,0.006493506493506494,False,False,False,False,False
HSP90B1,0.012987012987012988,0.0,0.006493506493506494,False,False,False,False,False
PRDM1,0.012987012987012988,0.0,0.006493506493506494,False,False,False,False,False
ITGB1,0.012987012987012988,0.0,0.006493506493506494,False,False,False,False,False
NLRP3,0.012987012987012988,0.0,0.006493506493506494,False,False,False,False,False
CHMP2B,0.006493506493506494,0.0,0.003246753246753247,False,False,False,False,False
SCARB1,0.006493506493506494,0.0,0.003246753246753247,False,False,False,False,False
NMNAT2,0.006493506493506494,0.0,0.003246753246753247,False,False,False,False,False
DCAF5,0.006493506493506494,0.0,0.003246753246753247,False,False,False,False,False
RGR,0.006493506493506494,0.0,0.003246753246753247,False,False,False,False,False
PTBP2,0.006493506493506494,0.0,0.003246753246753247,False,False,False,False,False
RIF1,0.006493506493506494,0.0,0.003246753246753247,False,False,False,False,False
SESN3,0.006493506493506494,0.0,0.003246753246753247,False,False,False,False,False
HAT1,0.006493506493506494,0.0,0.003246753246753247,False,False,False,False,False
MYL9,0.006493506493506494,0.0,0.003246753246753247,False,False,False,False,False
WASL,0.006493506493506494,0.0,0.003246753246753247,False,False,False,False,False
ECT2,0.006493506493506494,0.0,0.003246753246753247,False,False,False,False,False
PAX6,0.006493506493506494,0.0,0.003246753246753247,False,False,False,False,False
RDH10,0.006493506493506494,0.0,0.003246753246753247,False,False,False,False,False
CFTR,0.006493506493506494,0.0,0.003246753246753247,False,False,False,False,False
TAL1,0.006493506493506494,0.0,0.003246753246753247,False,False,False,False,False
NFIX,0.006493506493506494,0.0,0.003246753246753247,False,False,False,False,False
NFIA,0.006493506493506494,0.0,0.003246753246753247,False,False,False,False,False
NOVA2,0.006493506493506494,0.0,0.003246753246753247,False,False,False,False,False
RANGAP1,0.006493506493506494,0.0,0.003246753246753247,False,False,False,False,False
LMO2,0.006493506493506494,0.0,0.003246753246753247,False,False,False,False,False
FABP7,0.006493506493506494,0.0,0.003246753246753247,False,False,False,False,False
F3,0.006493506493506494,0.0,0.003246753246753247,False,False,False,False,False
STMN1,0.006493506493506494,0.0,0.003246753246753247,False,False,False,False,False
KDM5B,0.0,0.0,0.0,False,False,False,False,False
INTS7,0.0,0.0,0.0,False,False,False,False,False
FRYL,0.0,0.0,0.0,False,False,False,False,False
DDAH1,0.0,0.0,0.0,False,False,False,False,False
HPSE,0.0,0.0,0.0,False,False,False,False,False
ANKRD42,0.0,0.0,0.0,False,False,False,False,False
STC2,0.0,0.0,0.0,False,False,False,False,False
ZNF256,0.0,0.0,0.0,False,False,False,False,False
POTED,0.0,0.0,0.0,False,False,False,False,False
SLC28A1,0.0,0.0,0.0,False,False,False,False,False
INTU,0.0,0.0,0.0,False,False,False,False,False
CCDC158,0.0,0.0,0.0,False,False,False,False,False
IVNS1ABP,0.0,0.0,0.0,False,False,False,False,False
ALG10B,0.0,0.0,0.0,False,False,False,False,False
MED4,0.0,0.0,0.0,False,False,False,False,False
FCAMR,0.0,0.0,0.0,False,False,False,False,False
ZNF354B,0.0,0.0,0.0,False,False,False,False,False
VPS26B,0.0,0.0,0.0,False,False,False,False,False
